id;uuid;created_at;updated_at;deleted_at;description;parent_location_id;code;location_type
90;864f7516-699b-4be5-b876-87b208da808c;2025-03-26 09:23:23.887 -0300;;;Bela Vista;;89;Centro Pop
75;40b30bcb-534b-4754-af52-ade78c459586;2025-03-26 09:23:19.112 -0300;;;Mooca;;74;Centro Pop
93;72ce802d-651b-4064-84dd-14b045a0a5df;2025-03-26 09:23:24.823 -0300;;;Santana;;92;Centro Pop
86;32a195d1-9036-4cf0-97ae-a00d64b0a2e6;2025-03-26 09:23:22.603 -0300;;;Santo Amaro;;85;Centro Pop
88;6f5608cc-4435-45a5-bc56-3351697d4af8;2025-03-26 09:23:23.234 -0300;;;Sta Cecilia;;87;Centro Pop
73;c9be389c-a395-4ed8-8431-e6218a5489ca;2025-03-26 09:23:18.476 -0300;;;Vila Maria ;;72;Centro Pop
3;6f0b4a31-1a94-4d37-bb14-e1db12fd6b79;2025-03-21 17:29:29.639 -0300;;;Check In;;102;CHECKIN
4;3e3e0a1d-69ec-42f6-afae-0afad21c7adb;2025-03-21 17:29:38.574 -0300;;;Check Out;;103;CHECKOUT
60;1f5cc0d0-114a-4f80-ba37-e46e8d4684a9;2025-03-26 09:23:14.091 -0300;;;CIC Grajau;;59;CIC
95;622db277-3728-4a45-af0e-fa772f690e60;2025-03-26 09:45:13.144 -0300;;;Anhanguera;;54;CRAS
5;d8087f91-4dbe-4b4d-81c9-9757c56233b5;2025-03-21 17:42:07.921 -0300;;;Aricanduva;;2;CRAS
55;38931ed3-3822-4fe1-b10a-852be5763807;2025-03-22 11:56:17.319 -0300;;;Aricanduva;;53;CRAS
6;d2776be0-597b-4f88-af89-8faf9c55031f;2025-03-21 17:42:27.796 -0300;;;Arthur Alvin;;3;CRAS
7;a3eae040-1d4e-43e4-b92d-daccb4d225dc;2025-03-21 17:42:58.837 -0300;;;Brasilândia I;;4;CRAS
8;c7fbeda4-080a-4011-b2a1-d2ab47b45a1a;2025-03-21 17:43:09.932 -0300;;;Brasilândia II;;5;CRAS
9;062ee8e1-f94d-4007-9323-35a53fbc228f;2025-03-21 17:43:16.443 -0300;;;Brasilândia III;;6;CRAS
10;0d84f7b6-bcef-4edc-90fe-a01fbff82650;2025-03-21 17:43:32.247 -0300;;;Butantã;;7;CRAS
11;11ef38e4-7cad-49ac-91b1-4d2f5968e43c;2025-03-21 17:43:45.614 -0300;;;Cachoeirinha;;8;CRAS
12;b621dcf4-0690-464c-aae7-9d834dd198e0;2025-03-21 17:43:58.789 -0300;;;Campo Limpo;;9;CRAS
13;710da8a5-c644-45f3-b142-ef35fda05323;2025-03-21 17:44:14.537 -0300;;;Capão Redondo;;10;CRAS
